DFPN 10905,"H3",(JTAG_EMU0)
DFPN 10611,"C16",(EM_D10)
DFPN 11308,"T1",(AIC_XTALO)
DFPN 11204,"M21",(CODEC_RINGIN1)
DFPN 10116,"A18",(EM_D04)
DFPN 10503,"B11",(EM_D29)
DFPN 10608,"C13",(EM_D19)
DFPN 11302,"P22",(REFCLKI)
DFPN 10216,"AA16",(LCD_PD08)
DFPN 10913,"J21",(EM_A00)
DFPN 11409,"W6",(AIC_OUTP_8)
DFPN 11411,"W12",(LCD_HSYNC_RnW)
DFPN 10212,"AA12",(LCD_AC_nCS)
DFPN 10709,"D18",(EM_D02)
DFPN 10311,"AB7",(KEYPAD00)
DFPN 11310,"T3",(GPIO1)
DFPN 10108,"A10",(EM_D30)
DFPN 11210,"N21",(REF_OSC_RTN)
DFPN 11311,"T22",(PC_TXM)
DFPN 10204,"AA4",(AIC_HN_INM)
DFPN 11213,"P2",(MBSP_RFS)
DFPN 10810,"F20",(EM_A10)
DFPN 11008,"L4",(VLYNQ3_RXD0)
DFPN 10715,"E3",(EJTAG_DINT)
DFPN 11512,"Y13",(LCD_PD00)
DFPN 10304,"AA20",(LAN_FDUPLEX)
DFPN 11002,"K20",(CODEC_CS_N)
DFPN 10410,"AB22",(PC_ACTIVITY)
DFPN 10309,"AB5",(AIC_MIC_INM)
DFPN 10112,"A14",(EM_D17)
DFPN 11003,"K21",(CODEC_INT)
DFPN 10604,"C9",(EM_WE_DQM1)
DFPN 11216,"P19",(PC_RXP)
DFPN 11016,"M3",(MBSP_RCLK)
DFPN 10511,"B19",(EM_D00)
DFPN 10416,"B8",(EM_CS1)
DFPN 11507,"Y8",(KEYPAD04)
DFPN 11401,"V2",(GPIO5)
DFPN 10509,"B17",(EM_D09)
DFPN 10208,"AA8",(KEYPAD03)
DFPN 10904,"H2",(JTAG_TRST_N)
DFPN 10909,"J1",(JTAG_TMS)
DFPN 10305,"AA21",(PC_LINKON)
DFPN 11007,"L3",(VLYNQ3_CLK)
DFPN 10903,"H1",(JTAG_TDI)
DFPN 10807,"F3",(EJTAG_TRST0_N)
DFPN 10908,"H22",(EM_A02)
DFPN 10313,"AB9",(KEYPAD05)
DFPN 10307,"AB3",(AIC_CID_INP)
DFPN 10609,"C14",(EM_D16)
DFPN 10811,"F21",(EM_A09)
DFPN 10402,"AB14",(LCD_PD01)
DFPN 10802,"E20",(EM_A14)
DFPN 10105,"A7",(EM_CS5)
DFPN 11304,"R2",(VR_VBASE2)
DFPN 10707,"D12",(EM_D22)
DFPN 11603,"Y21",(PHY_TSTA)
DFPN 11602,"Y19",(LAN_RXP)
DFPN 10516,"C5",(EM_RNW)
DFPN 11014,"M1",(USB_DM)
DFPN 11414,"W18",(PHY_EXRES)
DFPN 11004,"K22",(CODEC_RESET_N)
DFPN 11506,"Y7",(AIC_LCD)
DFPN 10207,"AA7",(KEYPAD01)
DFPN 10413,"B5",(EM_OE)
DFPN 10110,"A12",(EM_D24)
DFPN 10614,"C19",(EM_A21)
DFPN 10602,"C7",(EM_CS3)
DFPN 10708,"D17",(EM_D06)
DFPN 10508,"B16",(EM_D12)
DFPN 10405,"AB17",(LCD_PD10)
DFPN 11510,"Y11",(KEYPAD14)
DFPN 10214,"AA14",(LCD_PD02)
DFPN 11501,"Y1",(AIC_OUTM_600)
DFPN 11010,"L19",(CODEC_CLKIN)
DFPN 10606,"C11",(EM_D27)
DFPN 10113,"A15",(EM_D14)
DFPN 11203,"M20",(CODEC_DOUT)
DFPN 11006,"L2",(VLYNQ5_TXD0)
DFPN 11503,"Y4",(AIC_HD_INP)
DFPN 10812,"F22",(EM_A08)
DFPN 10701,"D1",(SSP1)
DFPN 10712,"D22",(EM_A16)
DFPN 10915,"K1",(VLYNQ5_RXD1)
DFPN 11206,"N1",(USB_DP)
DFPN 10213,"AA13",(LCD_VSYNC_A0)
